	Date	Sentence	SentenceCtxt	SentenceId	TargetExpression	animacy	humanness
325	1890	Have I not told you that the insult you mean does not exist for me ; that it is a business matter, that I am a ***machine*** , work ing out my father's plans ?	" That man has insulted you, said Theodor between his teeth. "" [SEP] Have I not told you that the insult you mean does not exist for me ; that it is a business matter, that I am a ***machine*** , work ing out my father's plans ? [SEP] Can a machine be insulted ?"	001394570_01_154_7	machine	1.0	0.0
326	1863	In 1840, only fifty-six of these Cornish ***engines*** delivered nearly thirty-seven millions of tons of water.	Whole armies in number could not do a tithe of the labor. [SEP] In 1840, only fifty-six of these Cornish ***engines*** delivered nearly thirty-seven millions of tons of water. [SEP] The tin produce had increased (though the workings began many hundred years before Christ) from eighteen thousand blocks to thirty thousand of tin, and of copper from seven to eleven thousand tons.	003055904_01_156_4	engines	0.0	0.0
327	1831	"In agriculture, "" on the contrary, the best ***machines*** , that is, "" the best soils, are brought first into use, and "" recourse is afterwards had to inferior soils, "" which require greater expenditure to make "" them yield the same supplies."""	"In manufactures, "" the worst machinery is first set in motion, "" and every day its powers are improved by "" new inventions, and it is rendered capable "" of yielding a greater amount of produce "" with the same expense ; and as no limits "" can be assigned to the quantity of improved "" machinery that may be introduced, — as a "" million of steam-engines maybe constructed "" for the same, or rather for a less, propor "" tional expense than would be required for "" the construction of one, — competition "" never fails of reducing the price of manu "" factured commodities to the sum for which "" they may be produced according to the "" least expensive method. [SEP] In agriculture, "" on the contrary, the best ***machines*** , that is, "" the best soils, are brought first into use, and "" recourse is afterwards had to inferior soils, "" which require greater expenditure to make "" them yield the same supplies."" [SEP] Thus it appears, that, whilst the market price of commodities is regulated by the cheapest method of producing them, in all cases wherein unlimited quantities can be produced at the same comparative expense, it is regulated by the dearest method of pro ducing them in all cases wherein additional"	001493624_01_317_3	machines	0.0	0.0
328	1896	His work as part of the great intelligent managing ***machine*** of the Government of India overimpressed itself upon the stamp of scholar ship Oxford had left on his face, which had the	His eyes were certainly blue and expressive when he allowed them to be, his hostess thought, and he had the straight, thin, well-indicated nose which she liked, and a sensitive mouth for a man. [SEP] His work as part of the great intelligent managing ***machine*** of the Government of India overimpressed itself upon the stamp of scholar ship Oxford had left on his face, which had the [SEP] ; She seems to be sufficiently entertained.	001006231_01_40_8	machine	0.0	0.0
329	1882	All sorts of labor-saving ***machines*** were invented to facil itate the separation of the gold from gravel and soil.	"Manufacturers of rubber goods, rifles, pistols, bowie knives, etc., can scarcely supply the demand."" [SEP] All sorts of labor-saving ***machines*** were invented to facil itate the separation of the gold from gravel and soil. [SEP] Patented machines, cranks, pumps, overshot wheel attachments, engines, dredges for river-beds, supposed to be full of gold, and even diving-bells, were made and sold."	004089406_18_137_5	machines	0.0	0.0
330	1886	By this time the fire-***engine*** was tearing down the street ; every window was thrown up as it dashed past ; the maids were all in hysterics ; and the lady manageress, admirable woman !	A general stampede ensued, much to the satisfaction of George Mason, who now found the upper floors deserted by his affrighted guests, and therefore the more easily examined for the source of the mischief. [SEP] By this time the fire-***engine*** was tearing down the street ; every window was thrown up as it dashed past ; the maids were all in hysterics ; and the lady manageress, admirable woman ! [SEP] moved calm and collected amongst the excited throng.	002715779_01_5723	engine	1.0	1.0
331	1897	Also notice that in future the Town Trustees will not pay for the expense of the fire ***engines*** attending at fires, but the persons on whose property the fire may happen shall be liable to pay the expense.	[Fire Engines.] [SEP] Also notice that in future the Town Trustees will not pay for the expense of the fire ***engines*** attending at fires, but the persons on whose property the fire may happen shall be liable to pay the expense. [SEP] [New Town Hall.]	003362688_01_16075	engines	1.0	1.0
332	1873	After some time spent in experimenting with that, and with the circular saw in the mill, the spinning ***machinery*** was removed into the mill, where the manufacture of yarn by water-power was continued for some years.	"Two years afterward, Colonel Jewett and Judge Hines under took to manufacture cotton yarn by horse-power, in a frame building on Front street, between Rich and Friend streets. [SEP] After some time spent in experimenting with that, and with the circular saw in the mill, the spinning ***machinery*** was removed into the mill, where the manufacture of yarn by water-power was continued for some years. [SEP] The enterprise""was finally aban doned ; and the frame on Front street, long known as the "" Old Factory,"" where the cotton spinning was first begun, vanished, many years ago, from sight, and almost from memory!"	003533020_01_345	machinery	0.0	0.0
333	1829	The ***engines*** continued playing all the afternoon on the pile of burning timber in the body of the choir, and on those parts where the fire still lingered.	The wall remained firm as a rock, and the window stood in all its beauty, having received httle injury, except where a fracture was made in the lower part for the passage of the engine pipes. [SEP] The ***engines*** continued playing all the afternoon on the pile of burning timber in the body of the choir, and on those parts where the fire still lingered. [SEP] The workmen at the same time were employed in removing the fallen timber.	002872311_01_113	engines	1.0	0.0
334	1899	The most comically dressed ***machine*** and cyclist, lady or gentleman: 1, Mr. Henry AVashington ; 2, Mr. E. L. Young (Middlewich); 3, Mr. F. Carter (Middlewich).	The most artistically dressed machine, and gentleman cyclist : 1, Mr. W. Beckett (AVinsford) ; 2, Mr. James Cookson (Middlewich) ; 3, Mr. Eaton (Winssord). [SEP] The most comically dressed ***machine*** and cyclist, lady or gentleman: 1, Mr. Henry AVashington ; 2, Mr. E. L. Young (Middlewich); 3, Mr. F. Carter (Middlewich). [SEP] Best illuminated machine, ladies' or gentlemen's : 1, Mr. James Cookson (Aliddlewich) ; 2, Mr. AV.	000774325_01_7666	machine	1.0	1.0
335	1801	943 froivns of the new court 5 and, it was not probable, that any prior or present grievances, belonging to partizans of the late King, should be redressed ; it was more probable that new ones would be added ; and every ***engine*** of deceit and malice be put into action to entangle, in the mazes of the law, so power ful an antagonist to the new government.	"MERIONETHSHIRE. [SEP] 943 froivns of the new court 5 and, it was not probable, that any prior or present grievances, belonging to partizans of the late King, should be redressed ; it was more probable that new ones would be added ; and every ***engine*** of deceit and malice be put into action to entangle, in the mazes of the law, so power ful an antagonist to the new government. [SEP] A portion of Owen's lands were seized by Lord Grey, and, shortly after, by de signedly omitting to summons Owen, as a baron, to attend the"" King, insult was added to injury, and a pretence of forfeiture, as weak as it was wicked, was set up, to alienate the remainder of his patrimony."	000479757_22_13064	engine	1.0	1.0
336	1876	The card-sticking ***machine*** was invented by Amos Whittemore, of Massachusetts, and patented by him in 1797.	This was per haps the first roving can. [SEP] The card-sticking ***machine*** was invented by Amos Whittemore, of Massachusetts, and patented by him in 1797. [SEP] After the gin come the opener and scutcher, which separate the locks of cotton, remove the dirt, and convert the tangled fibre into a light and flocculent bat or lap.	003974927_01_1807	machine	0.0	0.0
337	1808	[He deranges his painting ***apparatus***, peevish- ly, and throws himself into an arm chair.	I believe the whole world conspires to smother my efforts, and ruin me in my profes sion. [SEP] [He deranges his painting ***apparatus***, peevish- ly, and throws himself into an arm chair. [SEP] — During this, Totterton has taken Risk to the marble, on which the colours are placed, and appears teaching him to grind them.]	002269157_01_1105	apparatus	0.0	0.0
338	1870	Mr. Johnson's amnesties and pardons are too nu merous for anything but a calculating-***machine***.	The head moth, Maximiban, fascinated by the gdt of an imperial candelabra, was so burnt, that he disappeared like the vagaries of South American empire, which hovered on the wings of that other Galbc moth, that now flits around the gas-jets of the Tuderies. [SEP] Mr. Johnson's amnesties and pardons are too nu merous for anything but a calculating-***machine***. [SEP] He began May 29, 1865, and only ended March 4, 1869.	003368707_01_6171	machine	0.0	0.0
339	1800	[Book VIIL powerful ***engine***, that acts throughout the whole creation, the manner, in which I omen are treated, must be the first critical pomt of distinction m the history of our species.	PHILOSOPHY OF HISTORY. [SEP] [Book VIIL powerful ***engine***, that acts throughout the whole creation, the manner, in which I omen are treated, must be the first critical pomt of distinction m the history of our species. [SEP] Every where woman has been the first object of contentious desire, and from her nature not less the first failing stone in the human.	001660099_01_4343	engine	1.0	0.0
340	1888	Then the carriage-doors are slammed, the steam ceases to roar, the ***engine*** snorts ominously, and slowly gathering up its strength, speeds away with its long train on the route to the north.	"6 of the great clock point to 1.30, the ""express"" from Liverpool comes thundering iuto the station, and for five minutes all is bang, rush, steam, and general commotion. [SEP] Then the carriage-doors are slammed, the steam ceases to roar, the ***engine*** snorts ominously, and slowly gathering up its strength, speeds away with its long train on the route to the north. [SEP] A little man clad in clerical attire is left standing on the platform, looking around as though in some per plexity."	003223541_01_146	engine	1.0	1.0
341	1881	"Messrs. Crook and Dean, of Folds Road, supplied a ***locomotive*** for other than pas senger traffic, and gave it the name of their foundry, the "" Phœnix."""	"A larger engine, named the "" Hercules,"" for goods traffic, and made at the Union Foundry, had like arrangements as to cylinders, but was in other respects of the general form of engine now in vogue. [SEP] Messrs. Crook and Dean, of Folds Road, supplied a ***locomotive*** for other than pas senger traffic, and gave it the name of their foundry, the "" Phœnix."" [SEP] Occasionally I got a glance, in the vicinity of Daubhill, of some of the earlier engines used on the Bolton and Leigh line."	000217185_01_1326	locomotive	0.0	0.0
343	1890	from becoming a vast gigantic ***machine***, with a dead heart and a paralyzed soul.	120 CONCEALED FOR THIRTY YEARS. [SEP] from becoming a vast gigantic ***machine***, with a dead heart and a paralyzed soul. [SEP] Thus it was, I had no keen desire to see Mistress Clemency ; for, with doubtless a touch of intoler ance and bigotry, I had dashed into the extreme notion that she was one of the clever women of the world, who had stepped out of her rightful sphere, and, therefore, lost her loveliest charms.	001510361_01_1439	machine	1.0	1.0
344	1896	"they put over the main plug in the street, and all the ***engines*** suck out of it — it runs over all the time, you know, if there 's a decent supply; and they call it the "" universal dam "" (sounds rum, doesn't it ?"	"Machina Ex — Cœlo ? [SEP] they put over the main plug in the street, and all the ***engines*** suck out of it — it runs over all the time, you know, if there 's a decent supply; and they call it the "" universal dam "" (sounds rum, doesn't it ? [SEP] like something to do with the end of the world), because of course each engine has Ah !"	002973305_01_285	engines	1.0	0.0
345	1876	— Establishments, 29 ; steam-***engines***, 21 (horse-power, 180) ; hands employed, 285 (men, 257 ; women, 2 ; youths, 26) ; capital, $136,700; wages, $157,576 ; materials, $178,526 ; products, $470,875.	Cut Glass. [SEP] — Establishments, 29 ; steam-***engines***, 21 (horse-power, 180) ; hands employed, 285 (men, 257 ; women, 2 ; youths, 26) ; capital, $136,700; wages, $157,576 ; materials, $178,526 ; products, $470,875. [SEP] Plate Glass — Establishments, 5 ; steam-engines, 2 (horse-power, 52) ; water-wheel, 1 (horse-power, 4); hands employed, 200 (men, 195; youths, 5); capital, $195,700; wages, $132,410; materials, $86,708; products, $355,250.	004113012_01_937	engines	0.0	0.0
346	1877	At any rate, there Avould be another train from Bath at tAvelve o'clock, and it was more than likely she would be folloAved, so she made her Avay to the dock, Avhere the Waterford steamer, having discharged her load of pigs, cabbages, and poultry, Avas taking in return ***machines*** and dry goods.	She guessed that Avould do as Avell ; she could easily get from Waterford home to Darraghmore. [SEP] At any rate, there Avould be another train from Bath at tAvelve o'clock, and it was more than likely she would be folloAved, so she made her Avay to the dock, Avhere the Waterford steamer, having discharged her load of pigs, cabbages, and poultry, Avas taking in return ***machines*** and dry goods. [SEP] She got on board and paid her passage, then Avent on deck to watch from a shel- tered situation the noisy operation of stoAV ing the cargo.	001222450_01_2434	machines	0.0	0.0
347	1890	"July 2, 1818 : "" Usher, the Clown of the Coburg Theatre (opened on the 9th of May), in consequence of a wager, set off in a ***machine*** like a washing-tub, drawn by four geese, at half-past twelve o'clock, from below Southwark Bridge, and passed under four bridges, and arrived at half-past two at Cumberland Gardens."	"Clowns are not responsible beings, at least on the stage, or, according to the following anecdote, off it. [SEP] July 2, 1818 : "" Usher, the Clown of the Coburg Theatre (opened on the 9th of May), in consequence of a wager, set off in a ***machine*** like a washing-tub, drawn by four geese, at half-past twelve o'clock, from below Southwark Bridge, and passed under four bridges, and arrived at half-past two at Cumberland Gardens. [SEP] A pole extended from the machine in which he sat, to which the geese were harnessed."	000129019_02_3170	machine	0.0	0.0
348	1897	As the train was craAvling up towards Bandera- Avela, the ***engine***-driver saw that beyond a certain tunnel the line was washed away ; he, therefore, stopped the train.	On the 27th of December last, eleven and a half inches of rain fell in twenty-four hours. [SEP] As the train was craAvling up towards Bandera- Avela, the ***engine***-driver saw that beyond a certain tunnel the line was washed away ; he, therefore, stopped the train. [SEP] The passengers got out to see what it was best to do, when one of them noticed some stones rolling down the mountain side above them.	001682996_01_1200	engine	0.0	0.0
349	1867	By the silting process above described, we may carry a Dam across a hollow of a few yards in width, to form a small pond for driving ***machinery***, or for domestic purposes.	42. [SEP] By the silting process above described, we may carry a Dam across a hollow of a few yards in width, to form a small pond for driving ***machinery***, or for domestic purposes. [SEP] By this means, we may also bund across valleys of miles in width, or join mountain ranges together, to form fresh water lakes to irrigate thousands of square miles of country.	002319358_01_342	machinery	0.0	0.0
350	1860	That I might study to better advantage the workings of Division into wind the atmospherical ***machinery*** in certain aspects, I bamls- divided the sea into bands or belts 5° of latitude in breadth, and stretching east and west entirely around the earth, but skipping over the land.	352. [SEP] That I might study to better advantage the workings of Division into wind the atmospherical ***machinery*** in certain aspects, I bamls- divided the sea into bands or belts 5° of latitude in breadth, and stretching east and west entirely around the earth, but skipping over the land. [SEP] There are twelve of these bands on each side of the equator that are traversed more or less frequently by our fleet of observers ; they extend to the parallel of 60° in each hemisphere.	002431917_01_3861	machinery	0.0	0.0
351	1859	Note.— The quartz crushing ***machines*** (5) are only parUally employed.	The works are perfect and reflect credit on the contractors, who have introduced improvements in portions of the machine. [SEP] Note.— The quartz crushing ***machines*** (5) are only parUally employed. [SEP] The number of persons employed in quartz mining, I estimated, after having visited the Trewhella's Reef is again all activity.	003786954_01_12160	machines	1.0	0.0
352	1886	Act for cleansing and lighting the streets, lanes, and passages within the towns of Manchester and Salford, and for providing fire ***engines*** and firemen, and for preventing annoyances within the said towns.	81. [SEP] Act for cleansing and lighting the streets, lanes, and passages within the towns of Manchester and Salford, and for providing fire ***engines*** and firemen, and for preventing annoyances within the said towns. [SEP] The Methodist Conference held in Manchester, under the presidency of the Eev.	000153351_01_3918	engines	0.0	0.0
353	1868	Latta's steam car for cities, 251 ; steam fire ***engines***, 259.	I^rd oil, manufacture and uses of, 67. [SEP] Latta's steam car for cities, 251 ; steam fire ***engines***, 259. [SEP] Leather, 316; tables of manufactures of, 316,326; kinds of, 818; treatment of, after tanning, 319.	003734531_01_13049	engines	0.0	0.0
354	1871	Situated as we are in India it is hopeless to expect to be able to use as complete or efficient ***machinery*** as the English Government can command.	One of the public journals lately stated that the English Govern ment, before undertaking the Survey of Ireland, employed a special Commission to ascertain the accurate orthography of Irish Geographical Names. [SEP] Situated as we are in India it is hopeless to expect to be able to use as complete or efficient ***machinery*** as the English Government can command. [SEP] But this con sideration will perhaps tend to excuse blemishes in a work which the great variety of the dialects, and the vast extent of the country, renders at least ten times more difficult ; and which had to be executed by a single officer during such spare hours as he could devote to it, after his regular Government work.	001772451_01_227	machinery	0.0	0.0
355	1894	"In the Pavilion itself was located a "" Loan Collection "" from South Kensington, in cluding specimens of horology and scientific ***apparatus***, with models, &c. The Exhibition remained open ten days, being opened on December 12th by the Lord Lieutenant of the County (the Earl of Chichester), assisted by the Bishop of the Diocese (Dr. Durn ford), and the Speaker of the House of Commons (the Right Hon."	"Two large iron build ings were erected in the Pavilion grounds, and these, as well as the Corn Exchange, were filled with specimens of food products, domestic and labour-saving appliances, sanitary inventions, and practical illustrations of different systems of lighting by electricity, by which the grounds and buildings were illuminated at night. [SEP] In the Pavilion itself was located a "" Loan Collection "" from South Kensington, in cluding specimens of horology and scientific ***apparatus***, with models, &c. The Exhibition remained open ten days, being opened on December 12th by the Lord Lieutenant of the County (the Earl of Chichester), assisted by the Bishop of the Diocese (Dr. Durn ford), and the Speaker of the House of Commons (the Right Hon. [SEP] H. Brand)."	000360612_01_2068	apparatus	0.0	0.0
356	1894	Sowing is done by a ***machine*** which sows 100 acres per day at the cost of about od.	Immense tracts of uncultivated land in Australasia remain idle that might with capital and labour certainly furnish a portion of this enormous supply. [SEP] Sowing is done by a ***machine*** which sows 100 acres per day at the cost of about od. [SEP] per acre.	000124415_01_645	machine	0.0	0.0
357	0	"Night and day the con quering ***engines*** rumbled at their distant work, or, advancing smoothly to their journey's end, and glid ing like tame dragons into the aUotted corners grooved out to the inch for their reception, stood bubbling and trembling there, making the walls quake, as if they were dUating with the secret knowl edge of great powers yet unsuspected in them, and strong purposes not yet achieved. """	"Wonderful Members of Parliament, who, httle more than twen ty years before, had made themselves merry with the wUd railroad theories of engineers, aud given them the liveUest rubs in cross-examination, went down into the North with their watches in their hands, aud sent on messages before by the electric telegraph, to say that they were coming. [SEP] Night and day the con quering ***engines*** rumbled at their distant work, or, advancing smoothly to their journey's end, and glid ing like tame dragons into the aUotted corners grooved out to the inch for their reception, stood bubbling and trembling there, making the walls quake, as if they were dUating with the secret knowl edge of great powers yet unsuspected in them, and strong purposes not yet achieved. "" [SEP] I don't know where it is !"""	000930638_03_4615	engines	1.0	1.0
358	1896	Calculated on these bases, the costs are as follows: — Labour per day — £ s. d. 3 Winding-***engine*** men (8 hour shifts) 0 16 6 1 Engine-cleaner .	Experience has shown that each locked-coil winding rope will raise at least 300,000 tons of coal, and that the guide ropes will last equally long. [SEP] Calculated on these bases, the costs are as follows: — Labour per day — £ s. d. 3 Winding-***engine*** men (8 hour shifts) 0 16 6 1 Engine-cleaner . [SEP] .	000185154_01_3396	engine	0.0	0.0
359	1850	We passed quickly on, without a guide, (for I could not have supported the presence of one of those human ***machines***,) and arrived at a small grove com posed of hiccory trees : this we traversed with rapid footsteps, and so, with a beating heart, I approached Niagara.	To this hotel, then, which is on the way to the falls, we bent our steps, the noise of the rushing waters sounding in our ears, louder and more loud, as we approached them. [SEP] We passed quickly on, without a guide, (for I could not have supported the presence of one of those human ***machines***,) and arrived at a small grove com posed of hiccory trees : this we traversed with rapid footsteps, and so, with a beating heart, I approached Niagara. [SEP] One sudden turn in the narrow path, and it was before us !	001744614_01_1193	machines	1.0	0.0
360	1858	"Well, well, I suppose it is the steam ***engines*** and railways and all ; the people haven't time to feel ; all affection and heart is hurried out of them."""	"Mrs. Darrell afterwards said to her cousin, "" It was not so in my day. [SEP] Well, well, I suppose it is the steam ***engines*** and railways and all ; the people haven't time to feel ; all affection and heart is hurried out of them."" [SEP] Soon after this, Mrs. Darrell's party re turned to Wyverton, but I (Nelly Muggins) did not see them, for all communication was of course interdicted between Margaret and our house."	000672079_02_2243	engines	0.0	0.0
361	1880	This mill, of course, may be driven by horse-power, as shown, or by a water- wheel, or a steam-***engine***.	In some instances the knives are provided with projecting points, so as to keep the clay in constant motion, as shown in the engraving, this may be ad- vantageous, but it requires more power than plain knives, and a stronger machine than can be made of wood. [SEP] This mill, of course, may be driven by horse-power, as shown, or by a water- wheel, or a steam-***engine***. [SEP] When circumstances admit, it is advan- tageous to temper the clay when warm ; this causes the air or gas in the pores of the clay to expand and escape, so that a close con- tact of the particles may be accomplished.	002734001_01_6093	engine	0.0	0.0
362	1882	284 slow, and ***machines*** were the result of the de mand.	HOME GUIDE AND INSTRUCTOR. [SEP] 284 slow, and ***machines*** were the result of the de mand. [SEP] In Ohio the manufacture of threshers began in 1846, in the southwestern part.	001743723_01_9125	machines	0.0	0.0
363	1875	It's not a toy to give away, A sort of offering votive : Nor yet, upon the other hand, Is it a ***locomotive***.	And how to keep our purchase, You'll be asking, are we able ; Since you're aware our cottage has Neither coach-house nor stable? [SEP] It's not a toy to give away, A sort of offering votive : Nor yet, upon the other hand, Is it a ***locomotive***. [SEP] 384	002269330_01_3961	locomotive	0.0	0.0
364	1851	It still, however, produces some woollen and cotton stuffs, gloves, cutlery, hardware, soap, and vinegar ; and has copper and lead foundries, flour-mills, &c; but its chief source of wealth is in the numerous and productive coal mines by which it is surrounded, and which employ a great number of workmen and steam-***engines***.	Mons Is the residence of a civil governor, and of a provincial and a municipal military commandant, and the seat of tribunals of primary jurisdiction and com merce, a chamber of commerce, &c. It had formerly a flourishing manufacture of lace, now much decayed, and and several sugar refineries, which have been abandoned. [SEP] It still, however, produces some woollen and cotton stuffs, gloves, cutlery, hardware, soap, and vinegar ; and has copper and lead foundries, flour-mills, &c; but its chief source of wealth is in the numerous and productive coal mines by which it is surrounded, and which employ a great number of workmen and steam-***engines***. [SEP] There are also extensive bleaching grounds in the vicinity.	002308369_02_32592	engines	0.0	0.0
365	1885	The arrangements are all that could be desired, the city waterworks giving a constant supply of water, which a small ***engine*** pumps up to two towers at the corners of the quadrangle, surmounted with tanks of five thousand gallons capacity.	The view from it is very fine, not shut off on one side as that is from Joe Pullen's tree, and is quite worth the trouble of mounting the many steps to enjoy. [SEP] The arrangements are all that could be desired, the city waterworks giving a constant supply of water, which a small ***engine*** pumps up to two towers at the corners of the quadrangle, surmounted with tanks of five thousand gallons capacity. [SEP] The buildings to the right of the entrance gate are the officers' quarters, arranged for ten occupants, and besides these there are quarters for thirty-one soldiers' families, provided with an infant school.	003374211_01_908	engine	0.0	0.0
366	1897	"At these meals one generally has for vis-a-vis one's railway "" conductor,"" or the ***engine***-driver — a decided advantage, as they gener ally take tbeir time and save one the trouble and anxiety of constant rushes to see that the train is not off directly the ding-dong begins to clang."	"We moved rapidly along in the dawn and lovely sun rise till we arrived, at 9.30, at Irapuato, where the train stopped half an hour for an excellent breakfast with delicious strawberries (which are here served fresh all the year round) at the railway restaurant. [SEP] At these meals one generally has for vis-a-vis one's railway "" conductor,"" or the ***engine***-driver — a decided advantage, as they gener ally take tbeir time and save one the trouble and anxiety of constant rushes to see that the train is not off directly the ding-dong begins to clang. [SEP] We resumed our journey by a branch line, entering the exquisitely fertile province of Jalisco, through the lovely emerald-green valley watered by the broad Rio de Lerrua, the longest and most important in Mexico, receiving innumerable tributaries during its progress, from its rise in the mountains near Toluca, through Lake Chapala, to the Pacific near San Bias, nowhere navigable, being full of cataracts and rapids."	001747492_01_1909	engine	0.0	0.0
367	1864	One of the chief living capitalists of Great Britain began his career with a fund somewhat less than thirty shillings; with less than thirty shillings he bought a ***machine***, familiar to us in these days as a potato-cart, but then a novelty in this metropolis.	question of 20.., and all that may be bought there with, but a question of 20.. and the vast sum to which, by scientific plutoculture, it may be raised. [SEP] One of the chief living capitalists of Great Britain began his career with a fund somewhat less than thirty shillings; with less than thirty shillings he bought a ***machine***, familiar to us in these days as a potato-cart, but then a novelty in this metropolis. [SEP] Starting as the proprietor of the first baked potato cart ever seen in London, this itinerant vendor of a not repulsive esculent, by the end of one calendar month, had, oves and beyond paying his way, quad rupled his original capital.	001857594_01_1184	machine	0.0	0.0
368	1895	Towards the end of the two hours the noise of the steam escaping from the ***boilers*** seemed to absorb and eclipse every other sound.	Sleep, however, seemed to be impossible, and for the greater part of the two hours and more that elapsed before the time for starting, Rivers, seated in the deck saloon with his eyes closed, listened to the sound of the rain on the deck and the rattle of the steam-winch as the cargo was lowered into the hold. [SEP] Towards the end of the two hours the noise of the steam escaping from the ***boilers*** seemed to absorb and eclipse every other sound. [SEP] Presently the first bell for departure rang, with a noisy and protracted clamour.	003483142_01_4929	boilers	0.0	0.0
369	1863	Each Steam Fire Engine Company shall have one steam fire ***engine***, one hose reel, with one thousand (1,000) feet of hose, and not more than four (4) horses.	378 APPENDIX. [SEP] Each Steam Fire Engine Company shall have one steam fire ***engine***, one hose reel, with one thousand (1,000) feet of hose, and not more than four (4) horses. [SEP] Each Hook and Ladder Company shall have one1 truck with hooka and ladders, and necessary appurtenances, and two horses.	003239295_03_7937	engine	0.0	0.0
370	1875	The boats, masts, sails, rudder, tiller, plugs, oars and spare oars, rowlocks and life-buoys ; the fire buckets, fire ***engines*** and hose ; steam-winch pumps, and large centrifugal pump (which throws 3,000 gallons of water a minute), are all ready for use ; also the patent fire annihdators, all the steering gear, wheel-chains, pins, and rollers — all and everything is properly looked after, overhauled, and examined.	Before one of this company's vessels leaves the dock everything is thoroughly overhauled and examined. [SEP] The boats, masts, sails, rudder, tiller, plugs, oars and spare oars, rowlocks and life-buoys ; the fire buckets, fire ***engines*** and hose ; steam-winch pumps, and large centrifugal pump (which throws 3,000 gallons of water a minute), are all ready for use ; also the patent fire annihdators, all the steering gear, wheel-chains, pins, and rollers — all and everything is properly looked after, overhauled, and examined. [SEP] If the ship is continually running, her crew remain by her all the time she is in port, and when she gets into the river they are all told off to the different boats, and Hsts of each boat's crew are made out, and hung up where they can be seen by all, one of each of which is also given to each officer in charge.	000660561_01_2912	engines	0.0	0.0
371	1893	The drum of the King pit ***engine*** on the Wigan Four- feet rope side is 15 feet 2 inches in diameter, and that on the Cannel side is a scroll from 15 feet 2 inches to 19 feet 4 inches.	6 tubs, each holding 8 cwts., are thus raised at each winding. [SEP] The drum of the King pit ***engine*** on the Wigan Four- feet rope side is 15 feet 2 inches in diameter, and that on the Cannel side is a scroll from 15 feet 2 inches to 19 feet 4 inches. [SEP] The method of removing the stones from the coal is worthy of remark.	002757962_01_7707	engine	0.0	0.0
372	1876	The ***locomotive***, or puffing billy, as we calls him, makes a deal of noise, but ain't entitled to a better place among the works of creation than the keb.	That pome of Gamble's, as he's a worritin' with now, about the creation of man and the locomotive's good, but I says to him, mind you don't leave out the keb. [SEP] The ***locomotive***, or puffing billy, as we calls him, makes a deal of noise, but ain't entitled to a better place among the works of creation than the keb. [SEP] Being a morning kebman, I might do a bit of compo at night, but my lamps is getting so precious dim by candlelight.	003951086_01_6934	locomotive	1.0	1.0
373	1896	JERRY TOE DREAMER 263 man would be at his desk doing his work, and the great ***machine*** would grind on, supremely indifferent that he had gone, as it had been supremely indiffer ent that for four years he gave of his blood and brain to it daily.	To-morrow, he knew, another [SEP] JERRY TOE DREAMER 263 man would be at his desk doing his work, and the great ***machine*** would grind on, supremely indifferent that he had gone, as it had been supremely indiffer ent that for four years he gave of his blood and brain to it daily. [SEP] He entertained himself for an instant with a little burst of childish jealousy of the new man who would slip in before the dust of his slipping out had settled.	002801486_01_4125	machine	1.0	1.0
374	1867	In England the peasantry has almost disappeared ; their place is supplied by day labourers, and it is to our mids and ***machinery*** that we must look for support for the poorer classes.	This secures to France a healthy, hardy, and contented people; and, nevertheless, the popu lation of France is increasing much less rapidly than that of England. [SEP] In England the peasantry has almost disappeared ; their place is supplied by day labourers, and it is to our mids and ***machinery*** that we must look for support for the poorer classes. [SEP] Yet it will scarcely be denied, that, in tliese occupations, at least the physique of our people is deteriorated, and the workers themselves are notoriously discon tented.	001818894_01_583	machinery	0.0	0.0
375	1894	"The gathering in of the ice crop affords employment to "" 12,000 men and boys, 1,000 horses, and 100 steam ***engines***."""	"The United States t are the largest producers of natural ice in the world, and in some years 12,000,000 tons are gathered from the lakes and rivers, and especially from the Hudson. [SEP] The gathering in of the ice crop affords employment to "" 12,000 men and boys, 1,000 horses, and 100 steam ***engines***."" [SEP] Much ice is exported from Boston, and Norway also is a country with a large ice trade."	001275772_01_3061	engines	0.0	0.0
376	1867	By this means, every passenger as well as the guards, by simply pulling the ropes can ring the bell, and thus in a moment communicate with the ***engine***-driver.	From this bell a line is carried from one end of the train to the other, right through the centre of the cars. [SEP] By this means, every passenger as well as the guards, by simply pulling the ropes can ring the bell, and thus in a moment communicate with the ***engine***-driver. [SEP] The vexed question, therefore, of communication between passenger, guard, and driver, was in this simple way solved years ago in America.	001746553_01_498	engine	0.0	0.0
377	1816	inform you, Mr. Mole is no more, he accidentally perish ed in the embraces of a steam-***engine***.	35 A FARCE. [SEP] inform you, Mr. Mole is no more, he accidentally perish ed in the embraces of a steam-***engine***. [SEP] — A fat gentleman who was here a short time ago, might have helped to clear away obscurities, but you mistook his purpose, and offended him, by refusing to make him your chaplain.	001024901_01_1356	engine	1.0	0.0
378	1859	The ***engine***, of which this is a model, performed the high duty of lifting one hundred and ten millions of pounds one foot high by the con sumption of one bushel of coal (94 lbs.)	The arrangements of the Cornish pumping engine may be studied in Wickstead's book on the Cornish engine. [SEP] The ***engine***, of which this is a model, performed the high duty of lifting one hundred and ten millions of pounds one foot high by the con sumption of one bushel of coal (94 lbs.) [SEP] in the fire-place of the boilers.	001109441_01_4679	engine	0.0	0.0
